0	0	0	0.001
1	0	0.001	0
2	0	0	0.001
3	0	0.001	0.001
4	0.001	0.001	0
5	0.001	0.001	0
6	0	0	0
7	0	0.002	0
8	0.001	0.001	0
9	0.001	0.001	0
10	0.001	0.002	0
11	0	0.002	0.001
12	0.001	0.002	0
13	0.001	0.002	0.001
14	0	0.002	0
15	0.001	0.002	0
16	0.001	0.002	0
17	0.001	0.002	0
18	0.001	0.002	0
19	0	0.002	0
20	0.001	0.003	0
21	0.001	0.003	0.001
22	0.001	0.003	0.001
23	0.001	0.003	0.001
24	0.001	0.003	0.001
25	0.001	0.004	0
26	0.001	0.003	0
27	0.001	0.004	0
28	0.001	0.004	0.001
29	0.001	0.004	0.001
30	0.001	0.004	0.001
31	0	0.004	0.001
32	0.001	0.005	0.001
33	0.001	0.005	0
34	0.001	0.004	0.001
35	0.001	0.005	0.001
36	0.002	0.005	0
37	0.001	0.005	0
38	0.001	0.005	0.001
39	0.002	0.005	0.001
40	0.002	0.005	0.001
41	0.001	0.005	0.001
42	0.001	0.006	0.001
43	0.001	0.006	0.001
44	0.001	0.006	0.001
45	0.001	0.006	0.001
46	0.001	0.006	0.001
47	0.001	0.007	0.001
48	0.002	0.006	0.001
49	0.002	0.006	0
50	0.001	0.007	0.001
51	0.001	0.007	0.001
52	0.002	0.007	0.001
53	0.002	0.007	0.001
54	0.002	0.007	0.001
55	0.001	0.008	0.001
56	0.001	0.007	0.001
57	0.001	0.007	0.001
58	0.002	0.008	0.001
59	0.001	0.008	0.001
60	0.002	0.008	0
61	0.001	0.009	0.001
62	0.001	0.009	0.001
63	0.002	0.009	0.001
64	0.001	0.009	0.001
65	0.002	0.009	0.001
66	0.002	0.009	0.001
67	0.001	0.009	0
68	0.002	0.009	0.001
69	0.001	0.009	0.001
70	0.001	0.009	0.001
71	0.001	0.009	0.001
72	0.002	0.009	0.001
73	0.002	0.01	0.001
74	0.002	0.01	0.001
75	0.001	0.01	0.001
76	0.002	0.01	0.001
77	0.002	0.011	0.001
78	0.002	0.011	0.001
79	0.002	0.011	0.001
80	0.002	0.01	0.001
81	0.002	0.011	0.001
82	0.002	0.011	0.001
83	0.002	0.011	0.001
84	0.002	0.011	0.001
85	0.002	0.011	0.001
86	0.003	0.011	0.001
87	0.002	0.011	0.001
88	0.002	0.012	0.001
89	0.002	0.012	0.001
90	0.002	0.011	0.001
91	0.002	0.012	0.001
92	0.003	0.012	0.001
93	0.002	0.012	0.001
94	0.002	0.013	0.001
95	0.003	0.013	0.001
96	0.002	0.013	0.002
97	0.002	0.013	0.001
98	0.003	0.013	0.001
99	0.003	0.013	0.002
